6.53,5.61,4.64,5.08,6.12,4.84,5.07,,,,,,,,,,,,
5.71,3.67,2.82,3.14,3.16,3.39,2.78,,,,,,,,,,,,
5.97,6.31,5.44,5.46,5.38,4.43,5.84,,,,,,,,,,,,
4.00,3.74,3.32,3.71,3.92,3.62,3.00,,,,,,,,,,,,
3.58,4.82,3.42,4.59,4.32,3.81,3.01,,,,,,,,,,,,
8.32,6.05,4.94,5.97,4.58,4.91,5.37,,,,,,,,,,,,
4.91,5.20,3.94,4.71,5.60,3.92,3.90,,,,,,,,,,,,
3.63,5.19,3.48,3.84,5.00,3.44,5.76,,,,,,,,,,,,
4.62,5.37,4.94,4.97,4.29,3.55,4.68,,,,,,,,,,,,
4.33,6.26,4.35,5.18,5.38,4.98,4.60,,,,,,,,,,,,
4.61,5.96,3.75,4.36,5.62,3.44,4.92,,,,,,,,,,,,
4.83,5.05,4.05,5.06,4.15,4.09,4.18,,,,,,,,,,,,
5.52,5.92,4.62,4.88,6.62,4.28,6.54,,,,,,,,,,,,
7.28,5.33,5.12,5.35,6.25,5.39,5.58,,,,,,,,,,,,
5.07,6.66,4.33,4.74,3.93,4.75,5.17,,,,,,,,,,,,
4.96,5.23,4.05,4.31,4.40,4.08,4.95,,,,,,,,,,,,
3.23,3.59,3.09,4.73,3.07,3.53,2.78,,,,,,,,,,,,
4.03,4.97,3.63,4.40,5.20,3.80,4.39,,,,,,,,,,,,
5.66,7.26,5.07,5.42,6.42,5.01,5.41,,,,,,,,,,,,
5.50,6.86,4.68,5.16,4.36,4.31,4.40,,,,,,,,,,,,
4.24,7.11,4.88,5.48,5.45,4.47,5.07,,,,,,,,,,,,
5.32,4.78,5.20,4.98,6.19,4.44,4.90,,,,,,,,,,,,
4.69,7.20,3.99,4.58,5.69,3.79,4.39,,,,,,,,,,,,
4.63,5.94,5.13,5.08,4.92,3.95,4.66,,,,,,,,,,,,
7.31,6.20,4.28,5.69,3.91,6.23,5.25,,,,,,,,,,,,
3.88,6.09,3.89,4.43,4.94,3.41,3.90,,,,,,,,,,,,
5.84,6.84,4.71,5.11,4.49,4.93,4.95,,,,,,,,,,,,
6.18,6.49,5.48,6.36,6.21,5.38,5.80,,,,,,,,,,,,
5.03,5.45,3.84,4.63,4.96,4.25,4.82,,,,,,,,,,,,
5.93,6.44,5.04,5.57,4.08,4.73,4.53,,,,,,,,,,,,
5.30,5.29,4.41,4.83,5.14,4.30,5.18,,,,,,,,,,,,
5.01,5.74,4.53,4.59,5.32,5.30,5.58,,,,,,,,,,,,
6.40,4.68,3.56,3.72,4.84,2.97,4.10,,,,,,,,,,,,
5.73,6.38,4.43,5.67,5.02,5.09,4.91,,,,,,,,,,,,
2.67,6.49,4.77,6.24,7.00,4.06,5.36,,,,,,,,,,,,
7.38,5.99,4.68,4.79,5.40,4.31,4.59,,,,,,,,,,,,
5.14,5.58,4.65,5.58,6.99,4.48,4.83,,,,,,,,,,,,
4.94,6.63,4.52,5.02,5.07,4.26,5.72,,,,,,,,,,,,
5.62,5.97,4.94,5.62,5.09,4.69,5.46,,,,,,,,,,,,
5.38,5.92,4.97,5.27,5.24,4.99,5.17,,,,,,,,,,,,
3.72,4.71,3.82,4.59,5.05,3.51,3.56,,,,,,,,,,,,
7.61,7.17,4.59,4.82,3.59,5.03,5.23,,,,,,,,,,,,
4.79,6.10,4.30,4.73,3.66,3.97,4.30,,,,,,,,,,,,
4.62,6.53,4.21,5.01,4.00,4.56,6.17,,,,,,,,,,,,
6.01,5.73,5.08,5.32,4.88,4.50,5.05,,,,,,,,,,,,
8.62,8.34,4.00,5.12,5.68,4.18,5.48,,,,,,,,,,,,
6.39,6.47,4.26,5.36,5.48,5.02,4.52,,,,,,,,,,,,
5.45,6.71,5.67,5.57,6.21,5.21,5.82,,,,,,,,,,,,
5.48,4.68,4.06,4.43,5.03,4.75,4.66,,,,,,,,,,,,
3.57,4.27,3.16,3.32,3.86,3.80,3.43,,,,,,,,,,,,
3.37,4.47,3.54,3.60,4.01,3.68,3.78,,,,,,,,,,,,
4.53,5.08,3.84,4.55,3.75,3.80,4.04,,,,,,,,,,,,
4.10,5.41,3.60,4.87,4.34,4.04,3.43,,,,,,,,,,,,
4.34,5.59,3.97,4.83,4.59,3.95,4.19,,,,,,,,,,,,
5.67,6.54,4.63,5.12,4.97,4.22,5.14,,,,,,,,,,,,
4.68,7.35,4.77,4.87,5.17,3.89,5.38,,,,,,,,,,,,
5.77,6.04,5.24,4.74,4.92,5.49,4.49,,,,,,,,,,,,
5.69,6.99,5.03,4.94,4.29,5.15,6.43,,,,,,,,,,,,
5.43,6.72,5.38,5.49,4.72,4.82,5.66,,,,,,,,,,,,
4.41,4.99,3.54,4.78,4.00,3.32,3.66,,,,,,,,,,,,
5.79,5.70,4.11,4.15,6.26,4.43,4.89,,,,,,,,,,,,
4.16,4.45,3.62,4.85,4.91,3.33,3.65,,,,,,,,,,,,
5.10,7.93,4.32,5.50,5.88,4.59,5.10,,,,,,,,,,,,
3.16,4.90,3.08,5.44,5.94,5.12,3.21,,,,,,,,,,,,
5.52,6.27,4.71,5.88,5.21,5.16,5.49,,,,,,,,,,,,
3.91,4.20,3.42,3.99,4.65,3.95,3.51,,,,,,,,,,,,
4.16,4.77,3.67,4.38,5.22,4.27,4.28,,,,,,,,,,,,
3.62,4.42,3.32,4.13,3.75,3.64,3.33,,,,,,,,,,,,
4.87,5.38,4.58,4.60,4.01,3.64,4.28,,,,,,,,,,,,
9.10,4.94,3.97,4.67,3.89,3.95,4.70,,,,,,,,,,,,
5.69,5.01,4.79,3.93,3.72,4.33,5.96,,,,,,,,,,,,
3.50,4.88,3.26,3.96,7.00,4.00,5.26,,,,,,,,,,,,
3.99,5.70,4.02,5.15,6.01,5.07,5.75,,,,,,,,,,,,
5.09,5.64,4.01,4.76,4.17,3.80,4.65,,,,,,,,,,,,
3.71,4.42,3.19,4.55,3.78,4.04,2.71,,,,,,,,,,,,
4.27,5.55,4.22,4.95,4.33,3.84,3.83,,,,,,,,,,,,
4.38,5.39,4.15,4.37,3.95,3.80,4.15,,,,,,,,,,,,
5.29,5.77,4.53,5.45,6.27,4.90,6.25,,,,,,,,,,,,
4.78,4.98,3.85,4.79,4.13,4.22,4.03,,,,,,,,,,,,
3.67,5.10,3.64,5.35,6.04,4.53,5.44,,,,,,,,,,,,
4.03,4.59,3.31,3.99,4.66,4.51,3.94,,,,,,,,,,,,
5.99,5.96,7.07,6.12,7.12,4.95,5.61,,,,,,,,,,,,
4.86,6.13,4.74,5.02,4.79,4.49,5.70,,,,,,,,,,,,
3.26,4.88,3.34,4.53,3.73,3.44,4.12,,,,,,,,,,,,
4.24,6.56,4.60,6.79,6.88,4.79,5.66,,,,,,,,,,,,
3.51,4.36,3.53,4.36,3.98,3.11,3.84,,,,,,,,,,,,
5.08,5.49,4.60,5.13,5.36,3.79,4.77,,,,,,,,,,,,
4.93,6.29,4.92,4.80,4.60,4.25,5.25,,,,,,,,,,,,
5.73,6.13,4.81,5.01,4.38,4.70,4.29,,,,,,,,,,,,
4.39,5.77,4.58,4.44,4.92,3.37,4.20,,,,,,,,,,,,
6.03,8.94,6.49,6.42,5.74,5.16,3.88,,,,,,,,,,,,
5.21,5.39,4.00,4.27,3.32,6.44,4.19,,,,,,,,,,,,
4.20,6.11,3.30,4.40,4.78,4.07,3.45,,,,,,,,,,,,
4.63,6.04,3.99,4.89,5.54,4.36,5.34,,,,,,,,,,,,
3.87,5.02,4.48,4.44,3.94,3.64,4.11,,,,,,,,,,,,
5.66,8.07,4.85,5.92,5.17,4.69,6.34,,,,,,,,,,,,
5.77,7.60,5.40,5.46,4.74,5.59,4.94,,,,,,,,,,,,
3.34,4.26,3.70,3.02,3.22,4.19,3.64,,,,,,,,,,,,
4.42,5.95,4.18,4.52,3.30,4.16,4.52,,,,,,,,,,,,
4.69,5.08,4.78,4.94,5.46,4.88,5.85,,,,,,,,,,,,
5.39,6.55,4.90,5.72,6.93,4.14,5.79,,,,,,,,,,,,
4.21,5.81,3.38,4.67,3.46,3.25,3.48,,,,,,,,,,,,
4.88,6.12,4.83,5.13,4.58,4.44,5.23,,,,,,,,,,,,
5.00,5.13,4.35,5.50,4.89,2.58,4.72,,,,,,,,,,,,
5.17,5.47,4.26,4.66,5.40,4.21,4.55,,,,,,,,,,,,
3.04,5.72,4.18,3.67,3.75,4.88,5.10,,,,,,,,,,,,
4.29,5.37,3.52,4.45,4.58,4.51,4.43,,,,,,,,,,,,
4.47,5.83,4.33,4.33,5.67,4.07,3.80,,,,,,,,,,,,
5.72,5.83,5.22,6.64,6.47,4.35,5.89,,,,,,,,,,,,
4.04,7.39,4.23,4.72,4.12,4.21,4.74,,,,,,,,,,,,
6.01,6.84,5.57,6.53,6.82,4.43,5.36,,,,,,,,,,,,
4.62,5.47,3.83,4.68,3.67,4.52,3.92,,,,,,,,,,,,
6.51,7.36,4.81,5.40,6.67,5.36,6.67,,,,,,,,,,,,
6.42,5.09,3.76,3.65,2.90,3.52,3.73,,,,,,,,,,,,
5.10,7.40,4.65,6.48,6.55,6.54,7.08,,,,,,,,,,,,
5.23,5.90,4.10,5.14,6.08,4.38,5.57,,,,,,,,,,,,
3.57,5.69,3.32,3.86,5.63,4.05,4.48,,,,,,,,,,,,
4.96,5.34,5.52,5.15,5.75,4.64,4.96,,,,,,,,,,,,
5.70,8.36,6.26,5.71,5.96,5.36,6.47,,,,,,,,,,,,
5.28,6.75,4.74,6.30,5.78,5.06,5.25,,,,,,,,,,,,
